"interaction","name","selected","shared interaction","shared name","start_year"
"Political Secretary","CCP (Political Secretary) 陳伯達","false","Political Secretary","CCP (Political Secretary) 陳伯達","1942"
"Central Committee Member","CCP (Central Committee Member) 陳伯達","false","Central Committee Member","CCP (Central Committee Member) 陳伯達","1945"
"Deputy Director","CCP (Deputy Director) 陳伯達","false","Deputy Director","CCP (Deputy Director) 陳伯達","1949"
"Deputy","Ussr Communist Party (Deputy) 鄧小平","false","Deputy","Ussr Communist Party (Deputy) 鄧小平","1956"
"Alternate Member","CCP (Alternate Member) 陳伯達","false","Alternate Member","CCP (Alternate Member) 陳伯達","1956"
"Alternate Member","CCP (Alternate Member) 陳伯達","false","Alternate Member","CCP (Alternate Member) 陳伯達","1956"
"Head","CCP (Head) 陳獨秀","false","Head","CCP (Head) 陳獨秀","1921"
"Member","CCP (Member) 陳賡","false","Member","CCP (Member) 陳賡","1922"
"Central Committee Member","CCP (Central Committee Member) 陳潭秋","false","Central Committee Member","CCP (Central Committee Member) 陳潭秋","1928"
"Representative","CCP (Representative) 陳潭秋","false","Representative","CCP (Representative) 陳潭秋","1939"
"Head","CCP (Head) 陳延年","false","Head","CCP (Head) 陳延年","1925"
"Member","CCP (Member) 陳延年","false","Member","CCP (Member) 陳延年","1927"
"Secretary","CCP (Secretary) 陳延年","false","Secretary","CCP (Secretary) 陳延年","1927"
"Member","CCP (Member) 陳毅","false","Member","CCP (Member) 陳毅","1923"
"Member","CCP (Member) 陳毅","false","Member","CCP (Member) 陳毅","1945"
"Secretary","CCP (Secretary) 陳毅","false","Secretary","CCP (Secretary) 陳毅","1949"
"Member","CCP (Member) 陳垣","false","Member","CCP (Member) 陳垣","1959"
"Labor Organizer","CCP (Labor Organizer) 陳雲","false","Labor Organizer","CCP (Labor Organizer) 陳雲","1924"
"Central Committee Member","CCP (Central Committee Member) 陳雲","false","Central Committee Member","CCP (Central Committee Member) 陳雲","1934"
"Member","North China Regional Committee (Member) 趙世炎","false","Member","North China Regional Committee (Member) 趙世炎",
"Communist Official","CCP (Communist Official) 陳雲","false","Communist Official","CCP (Communist Official) 陳雲","1948"
"Vice Chairman","CCP (Vice Chairman) 陳雲","false","Vice Chairman","CCP (Vice Chairman) 陳雲","1956"
"Vice Chairman","CCP (Vice Chairman) 程潛","false","Vice Chairman","CCP (Vice Chairman) 程潛","1949"
"Head","CCP (Head) 戴季陶","false","Head","CCP (Head) 戴季陶","1924"
"Labor Organizer","CCP (Labor Organizer) 鄧發","false","Labor Organizer","CCP (Labor Organizer) 鄧發","1927"
"Member","CCP (Member) 鄧發","false","Member","CCP (Member) 鄧發","1930"
"Member","CCP (Member) 鄧小平","false","Member","CCP (Member) 鄧小平","1938"
